"No.","Time","Source","Destination","Protocol","Length","Info"
"1455","2023-03-09 22:11:01.667304450","192.168.1.101","192.168.1.1","DNS","97","Standard query 0xbb0a A firefox.settings.services.mozilla.com"
"1456","2023-03-09 22:11:01.667915255","192.168.1.101","192.168.1.1","DNS","97","Standard query 0x5714 AAAA firefox.settings.services.mozilla.com"
"1457","2023-03-09 22:11:02.194582076","192.168.1.101","192.168.1.1","DNS","97","Standard query 0xbe77 A shavar.services.mozilla.com.home.arpa"
"1458","2023-03-09 22:11:02.194715853","192.168.1.101","192.168.1.1","DNS","97","Standard query 0xb27c AAAA shavar.services.mozilla.com.home.arpa"
"1459","2023-03-09 22:11:03.344883943","192.168.1.101","192.168.1.100","TCP","54","6206  >  993 [FIN, PSH, URG] Seq=1 Win=8192 Urg=0 Len=0"
"1460","2023-03-09 22:11:03.345761095","192.168.1.100","192.168.1.101","TCP","60","993  >  6206 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1461","2023-03-09 22:11:03.380984585","192.168.1.101","192.168.1.100","TCP","54","14277  >  995 [FIN, PSH, URG] Seq=1 Win=8192 Urg=0 Len=0"
"1462","2023-03-09 22:11:03.381922090","192.168.1.100","192.168.1.101","TCP","60","995  >  14277 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1463","2023-03-09 22:11:03.420472613","192.168.1.101","192.168.1.100","TCP","54","63434  >  500 [FIN, PSH, URG] Seq=1 Win=8192 Urg=0 Len=0"
"1464","2023-03-09 22:11:03.421947669","192.168.1.100","192.168.1.101","TCP","60","500  >  63434 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1465","2023-03-09 22:11:06.672221946","192.168.1.101","192.168.1.1","DNS","107","Standard query 0x50d9 A firefox.settings.services.mozilla.com.home.arpa"
"1466","2023-03-09 22:11:06.672601095","192.168.1.101","192.168.1.1","DNS","107","Standard query 0xc3da AAAA firefox.settings.services.mozilla.com.home.arpa"
"1467","2023-03-09 22:11:07.199617024","192.168.1.101","192.168.1.1","DNS","87","Standard query 0x99b4 A shavar.services.mozilla.com"
"1468","2023-03-09 22:11:07.199801807","192.168.1.101","192.168.1.1","DNS","87","Standard query 0x5eb6 AAAA shavar.services.mozilla.com"
"1469","2023-03-09 22:11:11.676687332","192.168.1.101","192.168.1.1","DNS","107","Standard query 0x50d9 A firefox.settings.services.mozilla.com.home.arpa"
"1470","2023-03-09 22:11:11.677249962","192.168.1.101","192.168.1.1","DNS","107","Standard query 0xc3da AAAA firefox.settings.services.mozilla.com.home.arpa"
"1471","2023-03-09 22:11:12.204244337","192.168.1.101","192.168.1.1","DNS","87","Standard query 0x99b4 A shavar.services.mozilla.com"
"1472","2023-03-09 22:11:12.204392642","192.168.1.101","192.168.1.1","DNS","87","Standard query 0x5eb6 AAAA shavar.services.mozilla.com"
"1473","2023-03-09 22:11:16.679858105","192.168.1.101","192.168.1.1","DNS","97","Standard query 0xdf9b A firefox.settings.services.mozilla.com"
"1474","2023-03-09 22:11:16.680226516","192.168.1.101","192.168.1.1","DNS","97","Standard query 0x6795 AAAA firefox.settings.services.mozilla.com"
"1475","2023-03-09 22:11:17.208526416","192.168.1.101","192.168.1.1","DNS","97","Standard query 0xa96b A shavar.services.mozilla.com.home.arpa"
"1476","2023-03-09 22:11:17.208654427","192.168.1.101","192.168.1.1","DNS","97","Standard query 0x4060 AAAA shavar.services.mozilla.com.home.arpa"
"1477","2023-03-09 22:11:21.687116428","192.168.1.101","192.168.1.1","DNS","97","Standard query 0xdf9b A firefox.settings.services.mozilla.com"
"1478","2023-03-09 22:11:21.687300714","192.168.1.101","192.168.1.1","DNS","97","Standard query 0x6795 AAAA firefox.settings.services.mozilla.com"
